更新时间: 2026-02-21 10:42:05（北京时间）

更新时间,#genre#
2026-02-21 10:42:05,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
电视指南,http://115.175.39.151:1000/udp/239.45.1.73:5140$上海市电信

卫视频道,#genre#
湖南卫视,http://115.175.39.151:1000/udp/239.45.3.228:5140$上海市电信
湖南卫视,http://43.138.5.183:10001/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://144.0.57.58:7005/rtp/239.21.1.158:5002$山东电信
浙江卫视,http://115.175.39.151:1000/udp/239.45.3.178:5140$上海市电信
浙江卫视,http://43.138.5.183:10001/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://144.0.57.58:7005/rtp/239.21.1.90:5002$山东电信
江苏卫视,http://115.175.39.151:1000/udp/239.45.3.177:5140$上海市电信
江苏卫视,http://43.138.5.183:10001/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://144.0.57.58:7005/rtp/239.21.1.89:5002$山东电信
东方卫视,http://115.175.39.151:1000/udp/239.45.3.146:5140$上海市电信
东方卫视,http://43.138.5.183:10001/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://144.0.57.58:7005/rtp/239.21.1.111:5002$山东电信
深圳卫视,http://115.175.39.151:1000/udp/239.45.3.231:5140$上海市电信
深圳卫视,http://43.138.5.183:10001/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://144.0.57.58:7005/rtp/239.21.1.93:5002$山东电信
北京卫视,http://115.175.39.151:1000/udp/239.45.3.229:5140$上海市电信
北京卫视,http://43.138.5.183:10001/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://144.0.57.58:7005/rtp/239.21.1.88:5002$山东电信
广东卫视,http://115.175.39.151:1000/udp/239.45.3.230:5140$上海市电信
广东卫视,http://43.138.5.183:10001/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://144.0.57.58:7005/rtp/239.21.1.92:5002$山东电信
广西卫视,http://115.175.39.151:1000/udp/239.45.0.5:5140$上海市电信
东南卫视,http://115.175.39.151:1000/udp/239.45.1.121:5140$上海市电信
东南卫视,http://43.138.5.183:10001/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://144.0.57.58:7005/rtp/239.21.1.113:5002$山东电信
海南卫视,http://115.175.39.151:1000/udp/239.45.1.81:5140$上海市电信
海南卫视,http://144.0.57.58:7005/rtp/239.21.2.14:5002$山东电信
河北卫视,http://115.175.39.151:1000/udp/239.45.1.44:5140$上海市电信
河北卫视,http://43.138.5.183:10001/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://144.0.57.58:7005/rtp/239.21.1.168:5002$山东电信
河南卫视,http://115.175.39.151:1000/udp/239.45.0.3:5140$上海市电信
河南卫视,http://144.0.57.58:7005/rtp/239.21.2.37:5002$山东电信
湖北卫视,http://115.175.39.151:1000/udp/239.45.3.239:5140$上海市电信
湖北卫视,http://43.138.5.183:10001/rtp/225.1.8.47:8044$北京市电信
湖北卫视,http://144.0.57.58:7005/rtp/239.21.1.163:5002$山东电信
江西卫视,http://115.175.39.151:1000/udp/239.45.1.122:5140$上海市电信
江西卫视,http://43.138.5.183:10001/rtp/225.1.8.171:8166$北京市电信
江西卫视,http://144.0.57.58:7005/rtp/239.21.1.167:5002$山东电信
四川卫视,http://115.175.39.151:1000/udp/239.45.1.23:5140$上海市电信
四川卫视,http://115.175.39.151:1000/udp/239.45.1.83:5140$上海市电信
四川卫视,http://144.0.57.58:7005/rtp/239.21.2.15:5002$山东电信
重庆卫视,http://115.175.39.151:1000/udp/239.45.1.84:5140$上海市电信
重庆卫视,http://43.138.5.183:10001/rtp/225.1.8.172:8162$北京市电信
重庆卫视,http://144.0.57.58:7005/rtp/239.21.1.233:5002$山东电信
贵州卫视,http://115.175.39.151:1000/udp/239.45.1.80:5140$上海市电信
贵州卫视,http://43.138.5.183:10001/rtp/225.1.8.77:8076$北京市电信
贵州卫视,http://144.0.57.58:7005/rtp/239.21.1.166:5002$山东电信
云南卫视,http://115.175.39.151:1000/udp/239.45.0.4:5140$上海市电信
云南卫视,http://115.175.39.151:1000/udp/239.45.3.206:5140$上海市电信
天津卫视,http://115.175.39.151:1000/udp/239.45.1.124:5140$上海市电信
天津卫视,http://43.138.5.183:10001/rtp/225.1.8.48:8044$北京市电信
天津卫视,http://144.0.57.58:7005/rtp/239.21.1.165:5002$山东电信
安徽卫视,http://115.175.39.151:1000/udp/239.45.1.120:5140$上海市电信
安徽卫视,http://115.175.39.151:1000/udp/239.45.3.143:5140$上海市电信
安徽卫视,http://43.138.5.183:10001/rtp/225.1.8.52:8064$北京市电信
安徽卫视,http://144.0.57.58:7005/rtp/239.21.1.159:5002$山东电信
山东卫视,http://115.175.39.151:1000/udp/239.45.3.238:5140$上海市电信
山东卫视,http://43.138.5.183:10001/rtp/225.1.8.50:8052$北京市电信
山东卫视,http://144.0.57.58:7005/rtp/239.21.1.87:5002$山东电信
辽宁卫视,http://115.175.39.151:1000/udp/239.45.1.123:5140$上海市电信
辽宁卫视,http://43.138.5.183:10001/rtp/225.1.8.51:8056$北京市电信
辽宁卫视,http://144.0.57.58:7005/rtp/239.21.1.164:5002$山东电信
黑龙江卫视,http://115.175.39.151:1000/udp/239.45.3.232:5140$上海市电信
黑龙江卫视,http://43.138.5.183:10001/rtp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://144.0.57.58:7005/rtp/239.21.1.28:5002$山东电信
吉林卫视,http://115.175.39.151:1000/udp/239.45.0.6:5140$上海市电信
吉林卫视,http://115.175.39.151:1000/udp/239.45.3.248:5140$上海市电信
吉林卫视,http://144.0.57.58:7005/rtp/239.21.2.49:5002$山东电信
山西卫视,http://115.175.39.151:1000/udp/239.45.0.57:5140$上海市电信
山西卫视,http://115.175.39.151:1000/udp/239.45.3.205:5140$上海市电信
甘肃卫视,http://115.175.39.151:1000/udp/239.45.0.15:5140$上海市电信
甘肃卫视,http://144.0.57.58:7005/rtp/239.21.2.22:5002$山东电信
青海卫视,http://115.175.39.151:1000/udp/239.45.0.37:5140$上海市电信
青海卫视,http://144.0.57.58:7005/rtp/239.21.2.51:5002$山东电信
三沙卫视,http://115.175.39.151:1000/udp/239.45.0.56:5140$上海市电信
三沙卫视,http://43.138.5.183:10001/rtp/225.1.8.78:4120$北京市电信
中国教育1台,http://115.175.39.151:1000/udp/239.45.1.125:5140$上海市电信
中国教育1台,http://43.138.5.183:10001/rtp/225.1.8.32:8152$北京市电信
中国教育1台,http://43.138.5.183:10001/rtp/225.1.8.169:4120$北京市电信
中国教育1台,http://144.0.57.58:7005/rtp/239.21.2.7:5002$山东电信
中国教育2台,http://43.138.5.183:10001/rtp/225.1.8.193:4120$北京市电信
中国教育3台,http://43.138.5.183:10001/rtp/225.1.8.194:4120$北京市电信
中国教育4台,http://115.175.39.151:1000/udp/239.45.0.21:5140$上海市电信
中国教育4台,http://115.175.39.151:1000/udp/239.45.1.243:5140$上海市电信
中国教育4台,http://43.138.5.183:10001/rtp/225.1.8.195:4120$北京市电信
早期教育,http://115.175.39.151:1000/udp/239.45.0.54:5140$上海市电信

数字频道,#genre#
CHC动作电影,http://115.175.39.151:1000/udp/239.45.0.41:5140$上海市电信
CHC动作电影,http://144.0.57.58:7005/rtp/239.21.2.128:5002$山东电信
CHC家庭影院,http://115.175.39.151:1000/udp/239.45.0.40:5140$上海市电信
CHC家庭影院,http://144.0.57.58:7005/rtp/239.21.2.126:5002$山东电信
CHC影迷电影,http://115.175.39.151:1000/udp/239.45.0.42:5140$上海市电信
CHC影迷电影,http://144.0.57.58:7005/rtp/239.21.2.127:5002$山东电信
淘电影,http://43.138.5.183:10001/rtp/225.1.8.38:8002$北京市电信
淘精彩,http://43.138.5.183:10001/rtp/225.1.8.33:8002$北京市电信
淘剧场,http://43.138.5.183:10001/rtp/225.1.8.37:8002$北京市电信
淘4K,http://43.138.5.183:10001/rtp/225.1.8.211:8002$北京市电信
淘娱乐,http://43.138.5.183:10001/rtp/225.1.8.61:8002$北京市电信
淘BABY,http://43.138.5.183:10001/rtp/225.1.8.36:8002$北京市电信
凤凰卫视中文台,http://144.0.57.58:7005/rtp/239.21.2.153:5002$山东电信
凤凰卫视资讯台,http://144.0.57.58:7005/rtp/239.21.2.163:5002$山东电信
凤凰卫视香港台,http://144.0.57.58:7005/rtp/239.21.2.164:5002$山东电信
求索纪录,http://144.0.57.58:7005/rtp/239.21.2.159:5002$山东电信
纪实人文,http://43.138.5.183:10001/rtp/225.1.8.53:8060$北京市电信
金鹰纪实,http://115.175.39.151:1000/udp/239.45.1.45:5140$上海市电信
金鹰纪实,http://43.138.5.183:10001/rtp/225.1.8.31:8156$北京市电信
金鹰纪实,http://144.0.57.58:7005/rtp/239.21.1.170:5002$山东电信
纪实科教,http://115.175.39.151:1000/udp/239.45.1.14:5140$上海市电信
纪实科教,http://144.0.57.58:7005/rtp/239.21.1.172:5002$山东电信
魅力足球,http://144.0.57.58:7005/rtp/239.21.2.95:5002$山东电信
五星体育,http://115.175.39.151:1000/udp/239.45.3.210:5140$上海市电信
快乐垂钓,http://115.175.39.151:1000/udp/239.45.3.12:5140$上海市电信
快乐垂钓,http://43.138.5.183:10001/rtp/225.1.8.71:8002$北京市电信
快乐垂钓,http://144.0.57.58:7005/rtp/239.21.2.97:5002$山东电信
茶频道,http://115.175.39.151:1000/udp/239.45.3.18:5140$上海市电信
茶频道,http://43.138.5.183:10001/rtp/225.1.8.72:8002$北京市电信
汽摩,http://144.0.57.58:7005/rtp/239.21.2.142:5002$山东电信
梨园频道,http://144.0.57.58:7005/rtp/239.21.2.101:5002$山东电信
文物宝库,http://144.0.57.58:7005/rtp/239.21.2.109:5002$山东电信
武术世界,http://144.0.57.58:7005/rtp/239.21.2.96:5002$山东电信
乐游,http://115.175.39.151:1000/udp/239.45.3.135:5140$上海市电信
乐游,http://144.0.57.58:7005/rtp/239.21.2.104:5002$山东电信
生活时尚,http://115.175.39.151:1000/udp/239.45.3.132:5140$上海市电信
生活时尚,http://144.0.57.58:7005/rtp/239.21.2.103:5002$山东电信
都市剧场,http://115.175.39.151:1000/udp/239.45.3.136:5140$上海市电信
都市剧场,http://144.0.57.58:7005/rtp/239.21.2.90:5002$山东电信
欢笑剧场,http://115.175.39.151:1000/udp/233.18.204.205:5140$上海市电信
欢笑剧场,http://115.175.39.151:1000/udp/239.45.1.4:5140$上海市电信
欢笑剧场,http://115.175.39.151:1000/udp/239.45.3.196:5140$上海市电信
游戏风云,http://115.175.39.151:1000/udp/239.45.3.131:5140$上海市电信
游戏风云,http://144.0.57.58:7005/rtp/239.21.2.107:5002$山东电信
金色学堂,http://115.175.39.151:1000/udp/239.45.0.9:5140$上海市电信
金色学堂,http://144.0.57.58:7005/rtp/239.21.2.102:5002$山东电信
动漫秀场,http://115.175.39.151:1000/udp/239.45.3.134:5140$上海市电信
动漫秀场,http://144.0.57.58:7005/rtp/239.21.2.92:5002$山东电信
卡酷少儿,http://115.175.39.151:1000/udp/239.45.0.8:5140$上海市电信
卡酷少儿,http://43.138.5.183:10001/rtp/225.1.8.35:8000$北京市电信
卡酷少儿,http://144.0.57.58:7005/rtp/239.21.2.120:5002$山东电信
金鹰卡通,http://115.175.39.151:1000/udp/239.45.0.38:5140$上海市电信
金鹰卡通,http://115.175.39.151:1000/udp/239.45.3.233:5140$上海市电信
金鹰卡通,http://43.138.5.183:10001/rtp/225.1.8.163:9252$北京市电信
金鹰卡通,http://144.0.57.58:7005/rtp/239.21.2.121:5002$山东电信
哈哈炫动,http://115.175.39.151:1000/udp/239.45.1.55:5140$上海市电信
嘉佳卡通,http://43.138.5.183:10001/rtp/225.1.8.170:9268$北京市电信
中国交通,http://144.0.57.58:7005/rtp/239.21.1.115:5002$山东电信
中国天气,http://115.175.39.151:1000/udp/239.45.3.141:5140$上海市电信
华数星影,http://43.138.5.183:10001/rtp/225.1.8.254:4120$北京市电信
华数动作影院,http://43.138.5.183:10001/rtp/225.1.8.252:4120$北京市电信
华数喜剧影院,http://43.138.5.183:10001/rtp/225.1.8.251:4120$北京市电信
华数家庭影院,http://43.138.5.183:10001/rtp/225.1.8.253:4120$北京市电信
华数经典电影,http://43.138.5.183:10001/rtp/225.1.8.203:9024$北京市电信
华数热播剧场,http://43.138.5.183:10001/rtp/225.1.8.202:9020$北京市电信
华数军旅剧场,http://43.138.5.183:10001/rtp/225.1.8.228:4120$北京市电信
华数城市剧场,http://43.138.5.183:10001/rtp/225.1.8.227:4120$北京市电信
华数古装剧场,http://43.138.5.183:10001/rtp/225.1.8.229:4120$北京市电信
华数魅力时尚,http://43.138.5.183:10001/rtp/225.1.8.204:9012$北京市电信
华数少儿动画,http://43.138.5.183:10001/rtp/225.1.8.207:9000$北京市电信
华数动画,http://43.138.5.183:10001/rtp/225.1.8.240:4120$北京市电信

湖北,#genre#

